user_id,country,signup_date,acquisition_channel,initial_plan
U00001,CH,2023-04-25,organic,free
U00002,SE,2023-01-26,ads,free
U00003,US,2023-10-09,ads,free
U00004,TR,2023-09-08,organic,free
U00005,DE,2023-08-17,organic,free
U00006,DE,2023-05-23,organic,free
U00007,DE,2023-04-15,partner,free
U00008,NL,2023-03-31,ads,free
U00009,US,2024-03-08,organic,free
U00010,US,2023-02-02,ads,free
U00011,DE,2023-01-31,organic,enterprise
U00012,SE,2023-04-06,ads,free
U00013,FR,2023-08-12,ads,pro
U00014,IT,2023-08-27,ads,enterprise
U00015,DE,2024-06-01,ads,free
U00016,DE,2023-01-28,referral,free
U00017,IT,2023-07-23,organic,free
U00018,TR,2024-03-05,partner,free
U00019,CH,2023-08-14,organic,free
U00020,IT,2024-04-04,ads,pro
U00021,US,2023-10-12,ads,free
U00022,DE,2023-01-07,ads,enterprise
U00023,IT,2023-06-13,ads,pro
U00024,CH,2024-03-08,organic,free
U00025,TR,2023-12-15,organic,free
U00026,FR,2023-10-12,organic,free
U00027,DE,2023-06-09,ads,free
U00028,TR,2023-08-09,ads,free
U00029,TR,2023-12-11,ads,pro
U00030,DE,2023-04-15,ads,free
U00031,US,2023-04-05,referral,free
U00032,DE,2024-01-25,ads,pro
U00033,DE,2023-04-10,organic,free
U00034,NL,2024-01-03,organic,free
U00035,SE,2023-12-19,ads,free
U00036,FR,2023-09-28,referral,free
U00037,IT,2023-02-14,organic,pro
U00038,DE,2024-04-15,ads,enterprise
U00039,US,2023-05-08,referral,free
U00040,CH,2024-01-23,ads,free
U00041,DE,2023-03-22,ads,free
U00042,TR,2023-10-28,referral,pro
U00043,DE,2024-01-06,organic,pro
U00044,NL,2023-07-16,ads,free
U00045,IT,2023-03-13,ads,free
U00046,US,2023-02-16,referral,enterprise
U00047,IT,2023-08-22,ads,free
U00048,TR,2023-10-24,ads,pro
U00049,TR,2023-03-23,organic,pro
U00050,DE,2023-08-27,referral,free
U00051,SE,2023-04-14,ads,pro
U00052,FR,2024-01-25,referral,free
U00053,NL,2023-10-12,organic,enterprise
U00054,NL,2024-04-09,organic,free
U00055,TR,2024-01-09,organic,free
U00056,NL,2023-06-16,partner,free
U00057,DE,2024-01-15,ads,pro
U00058,DE,2023-12-30,ads,free
U00059,DE,2023-08-03,referral,free
U00060,IT,2023-10-01,organic,free
U00061,CH,2023-03-15,organic,free
U00062,IT,2023-06-25,organic,pro
U00063,FR,2024-06-30,organic,free
U00064,CH,2023-09-08,referral,pro
U00065,IT,2023-06-17,referral,pro
U00066,TR,2024-04-18,organic,enterprise
U00067,DE,2024-01-24,ads,pro
U00068,FR,2023-10-04,organic,free
U00069,DE,2023-08-13,organic,free
U00070,SE,2023-11-29,organic,enterprise
U00071,FR,2023-02-27,organic,pro
U00072,DE,2023-08-23,ads,free
U00073,DE,2023-02-02,organic,enterprise
U00074,FR,2023-11-20,organic,pro
U00075,US,2024-02-15,referral,enterprise
U00076,US,2023-10-02,organic,pro
U00077,FR,2023-03-09,ads,pro
U00078,DE,2023-08-05,organic,pro
U00079,CH,2023-11-19,referral,free
U00080,DE,2023-08-06,organic,enterprise
U00081,NL,2024-05-26,organic,free
U00082,US,2024-02-10,organic,free
U00083,IT,2024-04-14,ads,pro
U00084,DE,2023-05-27,referral,pro
U00085,IT,2023-09-29,ads,pro
U00086,IT,2023-05-23,organic,free
U00087,US,2023-09-10,ads,free
U00088,US,2023-09-27,ads,free
U00089,NL,2024-03-14,organic,free
U00090,TR,2024-02-13,organic,pro
U00091,DE,2024-01-06,organic,free
U00092,US,2023-08-13,organic,free
U00093,FR,2023-05-22,organic,free
U00094,TR,2024-06-05,organic,pro
U00095,FR,2024-05-20,organic,free
U00096,TR,2023-04-04,organic,pro
U00097,TR,2023-02-18,organic,free
U00098,CH,2023-04-23,organic,free
U00099,DE,2023-06-06,referral,pro
U00100,DE,2023-06-13,ads,free
U00101,DE,2024-03-08,referral,free
U00102,US,2023-03-07,ads,pro
U00103,IT,2024-01-30,ads,pro
U00104,TR,2024-01-26,ads,pro
U00105,NL,2024-04-24,organic,pro
U00106,IT,2024-06-25,ads,free
U00107,CH,2023-09-15,referral,free
U00108,FR,2023-01-12,referral,free
U00109,IT,2023-04-28,organic,enterprise
U00110,DE,2023-10-01,organic,enterprise
U00111,IT,2023-12-15,referral,free
U00112,DE,2023-04-25,referral,free
U00113,NL,2023-10-28,organic,free
U00114,FR,2024-03-21,organic,pro
U00115,US,2023-06-11,organic,free
U00116,NL,2024-04-09,organic,pro
U00117,FR,2023-01-04,ads,enterprise
U00118,DE,2023-09-27,organic,enterprise
U00119,NL,2024-05-27,ads,free
U00120,TR,2023-07-02,organic,enterprise
U00121,FR,2024-06-03,organic,pro
U00122,NL,2023-04-19,partner,free
U00123,IT,2023-11-02,partner,free
U00124,DE,2024-06-03,organic,pro
U00125,IT,2023-07-23,organic,enterprise
U00126,CH,2023-06-06,ads,free
U00127,FR,2024-01-18,organic,free
U00128,NL,2023-06-15,ads,free
U00129,DE,2024-06-27,ads,enterprise
U00130,TR,2023-01-01,organic,enterprise
U00131,CH,2023-11-28,ads,free
U00132,IT,2024-05-15,ads,free
U00133,DE,2023-01-20,referral,enterprise
U00134,IT,2023-04-25,ads,pro
U00135,NL,2024-01-07,ads,enterprise
U00136,IT,2023-11-11,ads,pro
U00137,TR,2023-09-03,ads,free
U00138,US,2023-03-01,ads,pro
U00139,CH,2023-09-04,referral,free
U00140,SE,2023-03-22,ads,pro
U00141,SE,2023-03-29,referral,pro
U00142,IT,2024-05-12,ads,enterprise
U00143,TR,2023-03-12,organic,enterprise
U00144,IT,2024-06-29,organic,free
U00145,IT,2023-05-09,organic,free
U00146,DE,2023-05-12,organic,free
U00147,US,2024-05-01,referral,pro
U00148,TR,2023-06-19,ads,pro
U00149,DE,2023-09-29,organic,enterprise
U00150,IT,2024-06-24,referral,pro
U00151,NL,2024-03-09,ads,free
